File Name,Date,Particulars,Vch Type,Vch No.,Debit,Credit
SANWA DIAMOND TOOLS PVT LTD.pdf,10-Dec-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
29576.32 Dr
CGST
2661.84 Dr
SGST
2661.84 Dr",101,34900.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,1995,,99000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,1997,,99000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,31-Jan-20,"(as per details)
PURCHASES
CGST
SGST",Payment,102,,99000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,1-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
22882.00 Dr
CGST
2059.38 Dr
SGST
2059.38 Dr",103,27000.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,5-Feb-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
25000.00 Dr
CGST
2250.00 Dr
SGST
2250.00 Dr",120,29500.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,6-Feb-20,"HDFC Bank  9564 50,000.00 2025 Payment
NEFT DR-UTIB0001541-SANWA DIMOND",Payment,2025,,50000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,4-Mar-20,"HDFC Bank  9564 1,00,000.00 2121 Payment",Payment,2121,,100000.00
SANWA DIAMOND TOOLS PVT LTD.pdf,9-Mar-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
83262.48 Dr
CGST
7493.76 Dr
SGST
7493.76 Dr",104,98250.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,9-Mar-20,Transaction details,Purchase,,1898805.00,
SANWA DIAMOND TOOLS PVT LTD.pdf,16-Mar-20,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
12500.00 Dr
CGST
1125.00 Dr
SGST
1125.00 Dr",105,14750.00,
IMPERIAL.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
23339.32 Dr
CGST
2100.54 Dr
SGST
2100.14 Dr",331,27540.00,
LIFESTYLE-YOU.pdf,20-Jun-19,"(as per details)
PURCHASES
IGST","PURCHASES
592.37 Dr
IGST
106.63 Dr",35,592.37,
R S ENTERPRISES.pdf,7-Feb-20,"(as per details)
PURCHASES
IGST
BEING PURCHASES MADE VIDE INVOICE
NO  SDEE-","PURCHASES
660.17 Dr
IGST
118.83 Dr",15,660.17,
MAX GLOBAL AGENCY.pdf,10-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
1120.40 Dr
CGST
100.80 Dr
SGST
100.80 Dr",213,1120.40,
MAX GLOBAL AGENCY.pdf,15-Apr-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
2240.00 Dr
CGST
201.60 Dr
SGST
201.60 Dr",215,2240.00,
MAX GLOBAL AGENCY.pdf,3-May-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
890.00 Dr
CGST
80.10 Dr
SGST
80.10 Dr",212,890.00,
MAX GLOBAL AGENCY.pdf,3-Sep-19,"(as per details)
PURCHASES
CGST
SGST","PURCHASES
450.00 Dr
CGST
40.50 Dr
SGST
40.50 Dr",214,450.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,15-Apr-19,"HDFC Bank  9564 50,000.00 104 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,104,,50000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-May-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",50,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jun-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",363,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,6-Jun-19,"HDFC Bank  9564 50,000.00 547 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,547,,50000.00
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Jul-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",52,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,1-Aug-19,"(as per details)
PURCHASES
IGST","PURCHASES
27000.00 Dr
IGST
4860.00 Dr",53,31860.00,
PERENNIAL TECHNOLOGIES PVT LTD.pdf,13-Aug-19,"HDFC Bank  9564 50,000.00 1122 Payment
NEFT DR-MAHB0001208-PERENNIAL",Payment,1122,,50000.00
